"id";"1_Total";"1_Partner";"1_Children";"1_All";"2_Total";"2_Partner";"2_Children";"2_All";"3_Total";"3_Partner";"3_Children";"3_All";"10_Total";"10_Partner";"10_Children";"10_All";"20_Total";"20_Partner";"20_Children";"20_All";"30_Total";"30_Partner";"30_Children";"30_All";"35_Total";"35_Partner";"35_Children";"35_All";"40_Total";"40_Partner";"40_Children";"40_All";"50_Total";"50_Partner";"50_Children";"50_All";"60_Total";"60_Partner";"60_Children";"60_All";"70_Total";"70_Partner";"70_Children";"70_All";"80_Total";"80_Partner";"80_Children";"80_All";"90_Total";"90_Partner";"90_Children";"90_All";"95_Total";"95_Partner";"95_Children";"95_All";"3800_total";"3800_Partner";"3800_Children";"3800_All"
800161;360;360;0;0;55;30;0;0;35;20;0;0;500;500;0;0;0;0;0;0;110;60;0;0;0;0;0;0;0;0;0;0;20;0;0;0;60;0;0;0;0;0;0;0;260;200;0;0;40;0;0;0;0;0;0;0;0;0;0;0
800170;250;250;0;0;80;80;0;0;30;0;0;0;540;540;0;0;0;0;0;0;140;50;0;0;0;0;0;0;0;0;0;0;30;30;0;0;130;0;0;0;110;50;0;0;90;90;0;0;30;0;0;0;0;0;0;0;70;60;0;0
800198;380;380;0;0;20;20;0;0;60;20;0;0;560;560;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;70;0;0;0;280;220;0;0;10;10;0;0;0;0;0;0;0;0;0;0
800201;530;530;0;0;50;20;0;0;40;0;0;0;0;0;0;0;100;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;150;0;0;0;20;0;0;0;65;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0
800204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800274;660;650;0;0;220;210;0;0;120;80;0;0;0;0;0;0;0;0;0;0;320;170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;90;80;0;0;10;10;0;0;0;0;0;0;90;90;0;0
800289;440;440;0;0;25;20;0;0;95;0;0;0;555;555;0;0;0;0;0;0;105;10;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;30;0;0;0;55;20;0;0;80;15;0;0;0;0;0;0;0;0;0;0
800372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800402;590;590;0;0;125;125;0;0;65;5;0;0;0;0;0;0;0;0;0;0;205;185;0;0;0;0;0;0;0;0;0;0;70;70;0;0;30;30;0;0;60;0;0;0;145;105;0;0;50;50;0;0;0;0;0;0;0;0;0;0
800445;450;440;0;0;50;40;0;0;10;10;0;0;290;290;0;0;0;0;0;0;30;20;0;0;0;0;0;0;0;0;0;0;140;140;0;0;50;0;0;0;30;10;0;0;100;100;0;0;60;0;0;0;10;0;0;0;0;0;0;0
800497;510;510;0;0;160;130;0;0;30;0;0;0;0;0;0;0;0;0;0;0;120;0;0;0;0;0;0;0;70;70;0;0;100;0;0;0;0;0;0;0;230;0;0;0;130;90;0;0;20;0;0;0;70;40;0;0;0;0;0;0
800500;470;470;0;0;170;140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;130;0;40;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;220;0;0;0;210;210;0;0;60;60;0;0;30;0;0;0;40;0;0;40
800534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800637;460;460;0;0;190;170;0;0;55;25;0;0;0;0;0;0;0;0;0;0;140;130;0;0;0;0;0;0;0;0;0;0;50;40;0;0;40;40;0;0;455;415;0;10;0;0;0;0;50;50;0;0;0;0;0;0;0;0;0;0
800659;550;540;0;0;140;140;0;0;95;65;0;0;0;0;0;0;0;0;0;0;75;75;0;0;0;0;0;0;0;0;0;0;65;65;0;0;130;60;0;0;115;115;0;0;235;235;0;0;20;20;0;0;15;15;0;0;0;0;0;0
800674;540;540;0;0;100;80;0;0;50;0;0;0;60;60;0;0;0;0;0;0;120;50;0;0;0;0;0;0;0;0;0;0;215;165;0;0;0;0;0;0;80;40;0;0;170;170;0;0;70;0;0;0;35;25;0;0;0;0;0;0
800744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
800750;410;410;0;0;255;220;0;0;80;0;0;0;470;470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;135;60;0;0;20;0;0;0;0;0;0;0
800762;480;470;0;0;60;30;0;30;50;0;0;0;450;450;0;0;0;0;0;0;155;30;0;45;0;0;0;0;0;0;0;0;15;15;0;0;0;0;0;0;55;5;0;0;50;0;0;20;110;0;0;30;15;0;0;5;75;0;0;35
